"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-05-30 20:00:00 144.266835500659 NA NA 185.857176948817
2017-05-31 20:00:00 161.080412322155 NA NA 200.895946490636
2017-06-01 20:00:00 101.598509838936 NA NA 210.153514231475
2017-06-02 20:00:00 228.060807735826 NA NA 207.805463294446
2017-06-03 20:00:00 152.378432247864 NA NA 209.816707144398
2017-06-04 20:00:00 392.704019193294 NA NA 177.936958895409
2017-06-05 20:00:00 241.240457267574 NA NA 176.932068929735
2017-06-06 20:00:00 98.7597060500867 NA NA 226.730775448445
2017-06-07 20:00:00 NA NA NA 249.233770973404
2017-06-08 20:00:00 236.433748835283 NA NA 219.115436835333
2017-06-09 20:00:00 287.607439315164 NA NA 255.555756207231
2017-06-10 20:00:00 285.367765674157 NA NA 256.664014638912
2017-06-11 20:00:00 275.863805729083 NA NA 235.463970183161
2017-06-12 20:00:00 267.598602780844 10.0641708163565 NA 193.74940985737
2017-06-13 20:00:00 235.266808881363 288.821070864935 157.572353860864 275.246221704218
2017-06-14 20:00:00 265.496564488826 286.233934500276 170.258316791586 226.576364773697
2017-06-15 20:00:00 229.635778801932 230.581811997387 166.061049368524 231.529799130126
2017-06-16 20:00:00 231.964397949992 286.820783714724 162.210330310024 224.082580929993
2017-06-17 20:00:00 245.472099451111 318.995363926927 170.50996698965 259.683124626852
2017-06-18 20:00:00 216.094395426252 244.339004494433 149.816462810317 266.222704345628
2017-06-19 20:00:00 160.432016709133 171.983396977589 129.904303336216 226.564218989965
2017-06-20 20:00:00 8.43574444487659 295.403173168858 188.330319025245 209.881577352218
2017-06-21 20:00:00 189.937810778731 296.655893703156 178.034942419851 206.839442200862
2017-06-22 20:00:00 200.120062252682 226.950600967438 188.669178013139 200.710712973061
2017-06-23 20:00:00 234.151318436082 279.197987417211 196.961231412047 192.574066331184
2017-06-24 20:00:00 200.174586097528 317.06531498103 189.496303894062 205.462704034547
2017-06-25 20:00:00 206.801544585095 305.383540735108 187.446196384807 219.491447016184
2017-06-26 20:00:00 135.312358979387 287.995947160033 188.057236551809 216.436208992893
2017-06-27 20:00:00 207.113129718639 305.343675373834 200.264964324526 205.218561191416
2017-06-28 20:00:00 211.688895340464 312.869367471324 191.12460582748 204.945075378388
2017-06-29 20:00:00 216.766050453669 315.375005482896 188.934911309344 196.34706614758
2017-06-30 20:00:00 202.091992454595 289.101732219149 185.932992985019 192.036793280089
2017-07-01 20:00:00 221.053164517637 304.263755358023 195.162796634418 197.976177443375
2017-07-02 20:00:00 108.974803283836 153.975576536568 135.049958291955 122.478461465496
2017-07-03 20:00:00 NA NA NA NA
2017-07-04 20:00:00 NA NA NA NA
2017-07-05 20:00:00 NA NA NA NA
2017-07-06 20:00:00 NA NA NA NA
2017-07-07 20:00:00 NA NA NA NA
2017-07-08 20:00:00 NA NA NA NA
2017-07-09 20:00:00 NA NA NA NA
2017-07-10 20:00:00 NA NA NA NA
2017-07-11 20:00:00 NA NA NA NA
2017-07-12 20:00:00 NA 217.154919581921 162.686898301852 194.923714147105
2017-07-13 20:00:00 139.757075703331 197.549531830535 171.99805360247 199.01840478158
