"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-05-30 23:00:00 NA NA NA 7.35652948724498
2017-05-31 00:00:00 NA NA NA 7.03382496627602
2017-05-31 01:00:00 NA NA NA 8.11859113177588
2017-05-31 02:00:00 5.81649232849483 NA NA 6.22443765749573
2017-05-31 03:00:00 NA NA NA 7.62711191937425
2017-05-31 04:00:00 NA NA NA 7.17603826547558
2017-05-31 05:00:00 NA NA NA 7.66678608291705
2017-05-31 06:00:00 NA NA NA 7.37631165774489
2017-05-31 07:00:00 NA NA NA 8.07648705475398
2017-05-31 08:00:00 NA NA NA 8.53800057105919
2017-05-31 09:00:00 NA NA NA 9.21605320524152
2017-05-31 10:00:00 25.6336579764978 NA NA 10.4832376282814
2017-05-31 11:00:00 21.1849316991223 NA NA 8.407058564665
2017-05-31 12:00:00 NA NA NA 10.644125672675
2017-05-31 13:00:00 NA NA NA 9.16923626559534
2017-05-31 14:00:00 10.1528452885486 NA NA 8.99256045715197
2017-05-31 15:00:00 16.8953693558058 NA NA 11.8780503955308
2017-05-31 16:00:00 NA NA NA 12.4038871218769
2017-05-31 17:00:00 NA NA NA 10.8204270566446
2017-05-31 18:00:00 34.1883248012343 NA NA 10.1386171056496
2017-05-31 19:00:00 30.3952140509557 NA NA 8.50980468138772
2017-05-31 20:00:00 NA NA NA 8.71995597888894
2017-05-31 21:00:00 NA NA NA 8.55251726337079
2017-05-31 22:00:00 NA NA NA 6.6245356455949
2017-05-31 23:00:00 4.18291371270251 NA NA 6.77463256933173
2017-06-01 00:00:00 NA NA NA 7.96791855468733
2017-06-01 01:00:00 NA NA NA 9.18134871149755
2017-06-01 02:00:00 NA NA NA 6.58618775695973
2017-06-01 03:00:00 NA NA NA 7.17936939922955
2017-06-01 04:00:00 NA NA NA 8.13174950784865
2017-06-01 05:00:00 22.76777061356 NA NA 8.5040891622547
2017-06-01 06:00:00 36.18793501847 NA NA 7.01470337306248
2017-06-01 07:00:00 NA NA NA 7.34466782006592
2017-06-01 08:00:00 16.1218419478389 NA NA 8.51371182577406
2017-06-01 09:00:00 23.6500676256803 NA NA 8.61951921214475
2017-06-01 10:00:00 NA NA NA 10.8872743382791
2017-06-01 11:00:00 NA NA NA 9.49882328168971
2017-06-01 12:00:00 10.69418947871 NA NA 7.4597281702602
2017-06-01 13:00:00 NA NA NA 9.01504300951063
2017-06-01 14:00:00 34.1883248012343 NA NA 8.79772121923591
2017-06-01 15:00:00 NA NA NA 12.0625922701389
2017-06-01 16:00:00 NA NA NA 8.31440497386594
2017-06-01 17:00:00 NA NA NA 7.96679038715984
2017-06-01 18:00:00 13.2873691239585 NA NA 8.78143001546804
2017-06-01 19:00:00 NA NA NA 8.39723204431682
2017-06-01 20:00:00 NA NA NA 7.84827693281997
2017-06-01 21:00:00 NA NA NA 6.86416546937226
2017-06-01 22:00:00 NA NA NA 6.95756297851382
2017-06-01 23:00:00 30.7761981983752 NA NA 7.75361848273436
2017-06-02 00:00:00 NA NA NA 7.9420915496103
2017-06-02 01:00:00 NA NA NA 7.71640799623352
2017-06-02 02:00:00 NA NA NA 6.69660710526285
2017-06-02 03:00:00 NA NA NA 7.2086078945835
2017-06-02 04:00:00 NA NA NA 7.69048419781061
2017-06-02 05:00:00 NA NA NA 8.92035422708971
2017-06-02 06:00:00 NA NA NA 8.64805900069774
2017-06-02 07:00:00 17.5200310113998 NA NA 8.1899659785162
2017-06-02 08:00:00 NA NA NA 8.84027150243526
2017-06-02 09:00:00 NA NA NA 9.61527756796162
2017-06-02 10:00:00 24.6024930834414 NA NA 8.91770075911943
2017-06-02 11:00:00 NA NA NA 10.9752637022997
2017-06-02 12:00:00 NA NA NA 11.8411490534019
2017-06-02 13:00:00 NA NA NA 11.8741342171893
2017-06-02 14:00:00 NA NA NA 9.0545895905408
2017-06-02 15:00:00 22.76777061356 NA NA 10.2109467410196
2017-06-02 16:00:00 NA NA NA 8.83427860831936
2017-06-02 17:00:00 5.93201693216 NA NA 7.55232890586262
2017-06-02 18:00:00 NA NA NA 10.6011775877293
2017-06-02 19:00:00 NA NA NA 9.4001941823517
2017-06-02 20:00:00 NA NA NA 7.47097987277565
2017-06-02 21:00:00 24.6024930834414 NA NA 7.01271120896702
2017-06-02 22:00:00 NA NA NA 6.86064516638929
2017-06-02 23:00:00 NA NA NA 7.96772252719277
2017-06-03 00:00:00 20.4724149573845 NA NA 6.5144000710082
2017-06-03 01:00:00 NA NA NA 8.15647676951693
2017-06-03 02:00:00 23.6500676256803 NA NA 8.66412041657121
2017-06-03 03:00:00 6.44358869578961 NA NA 8.10246510886695
2017-06-03 04:00:00 38.4300032151233 NA NA 8.51215660776666
2017-06-03 05:00:00 NA NA NA 9.24488459356843
2017-06-03 06:00:00 NA NA NA 6.57022039053583
2017-06-03 07:00:00 NA NA NA 8.71632689730021
2017-06-03 08:00:00 NA NA NA 8.7789376503924
2017-06-03 09:00:00 38.4300032151233 NA NA 10.0926140023966
2017-06-03 10:00:00 NA NA NA 8.34545771878017
2017-06-03 11:00:00 35.1881299098522 NA NA 9.18222241842192
2017-06-03 12:00:00 NA NA NA 9.12342749878844
2017-06-03 13:00:00 7.13498846041287 NA NA 9.88332347156032
2017-06-03 14:00:00 NA NA NA 11.1289959972589
2017-06-03 15:00:00 NA NA NA 8.69333704618587
2017-06-03 16:00:00 4.39958866576143 NA NA 10.3222500096943
2017-06-03 17:00:00 NA NA NA 10.0964176239173
2017-06-03 18:00:00 NA NA NA 9.68665625894056
2017-06-03 19:00:00 29.3095299072575 NA NA 8.67871396764989
2017-06-03 20:00:00 NA NA NA 7.31432945447622
2017-06-03 21:00:00 NA NA NA 7.04121678083167
2017-06-03 22:00:00 NA NA NA 6.57342043112205
2017-06-03 23:00:00 29.3095299072575 NA NA 7.03205004168848
2017-06-04 00:00:00 NA NA NA 7.44630953313498
2017-06-04 01:00:00 NA NA NA 7.26199436644937
2017-06-04 02:00:00 NA NA NA 9.01460016967089
2017-06-04 03:00:00 NA NA NA 7.6364493934975
2017-06-04 04:00:00 NA NA NA 8.41936994187174
2017-06-04 05:00:00 NA NA NA 8.64722804781885
2017-06-04 06:00:00 NA NA NA 9.82496737411926
2017-06-04 07:00:00 NA NA NA 7.96608462568686
2017-06-04 08:00:00 NA NA NA 8.77741957656096
2017-06-04 09:00:00 34.1883248012343 NA NA 10.4947289690155
2017-06-04 10:00:00 5.1623676375575 NA NA 8.25133774431572
2017-06-04 11:00:00 NA NA NA 11.875172859948
2017-06-04 12:00:00 32.3943447324969 NA NA 11.4288523193935
2017-06-04 13:00:00 NA NA NA 8.28144673948279
2017-06-04 14:00:00 NA NA NA 8.33713811201298
2017-06-04 15:00:00 NA NA NA 10.9502547456193
2017-06-04 16:00:00 10.1537665322381 NA NA 9.04522431445332
2017-06-04 17:00:00 23.6500676256803 NA NA 9.41047015843423
2017-06-04 18:00:00 NA NA NA 10.7536448059748
2017-06-04 19:00:00 17.5200310113998 NA NA 8.03299663881944
2017-06-04 20:00:00 19.1807695474743 NA NA 6.97430019275384
2017-06-04 21:00:00 NA NA NA 6.98274408279043
2017-06-04 22:00:00 NA NA NA 7.01380471331796
2017-06-04 23:00:00 36.18793501847 NA NA 6.72170174258117
2017-06-05 00:00:00 38.4300032151233 NA NA 5.95414003803033
2017-06-05 01:00:00 34.1883248012343 NA NA 7.23163077914454
2017-06-05 02:00:00 34.1883248012343 NA NA 6.47323295965843
2017-06-05 03:00:00 32.5918160569282 NA NA 7.31595018317831
2017-06-05 04:00:00 32.0318305958105 NA NA 7.57552707913858
2017-06-05 05:00:00 25.5308230173192 NA NA 7.46193421571383
2017-06-05 06:00:00 NA NA NA 7.02100904978468
2017-06-05 07:00:00 NA NA NA 6.71968615447374
2017-06-05 08:00:00 16.5626571373775 NA NA 6.99527864522273
2017-06-05 09:00:00 NA NA NA 7.39276232419741
2017-06-05 10:00:00 26.753628898733 NA NA 7.03809934335582
2017-06-05 11:00:00 23.4147804593287 NA NA 7.48187310973322
2017-06-05 12:00:00 NA NA NA 7.85688840296077
2017-06-05 13:00:00 NA NA NA 8.31950839145563
2017-06-05 14:00:00 13.4489900750522 NA NA 9.55148416154055
2017-06-05 15:00:00 29.3095299072575 NA NA 9.62559049392338
2017-06-05 16:00:00 NA NA NA 7.371946128362
2017-06-05 17:00:00 11.8498628020736 NA NA 7.9506458271023
2017-06-05 18:00:00 10.9002453764117 NA NA 8.36120248047304
2017-06-05 19:00:00 8.13449748346572 NA NA 6.54601839651651
2017-06-05 20:00:00 6.09798769348956 NA NA 6.72334177808471
2017-06-05 21:00:00 7.21409851995596 NA NA 7.88074554050826
2017-06-05 22:00:00 6.32867170490936 NA NA 6.98537400425903
2017-06-05 23:00:00 7.04318548168667 NA NA 6.31786539648532
2017-06-06 00:00:00 5.02827450889457 NA NA 7.94605442262097
2017-06-06 01:00:00 7.07693892581447 NA NA 7.56382383959392
2017-06-06 02:00:00 6.62452109550577 NA NA 7.45890450881919
2017-06-06 03:00:00 8.75174601065626 NA NA 6.04065187590463
2017-06-06 04:00:00 6.37955744555549 NA NA 6.52410078347138
2017-06-06 05:00:00 7.89631670098172 NA NA 7.49945329231985
2017-06-06 06:00:00 10.0091428510425 NA NA 8.42005808572714
2017-06-06 07:00:00 9.27266582299902 NA NA 5.97454497047991
2017-06-06 08:00:00 7.30249714293059 NA NA 7.75435134675358
2017-06-06 09:00:00 14.7285004767535 NA NA 8.97050182784156
2017-06-06 10:00:00 10.3903185488809 NA NA 9.8857433099763
